wavelength,flux,flux_err,flux_noskysub,flux_err_noskysub
3700.25,9.89418e-18,5.32118e-17,2.07645e-17,5.32118e-17
3700.50,4.05815e-17,5.87442e-17,5.44977e-17,5.87442e-17
3700.75,6.41479e-17,5.86428e-17,7.86963e-17,5.86428e-17
3701.00,6.35778e-17,5.85078e-17,7.84242e-17,5.85078e-17
3701.25,-3.92993e-17,5.83624e-17,-2.42640e-17,5.83624e-17
3701.50,-7.33129e-17,5.82109e-17,-5.81481e-17,5.82109e-17
3701.75,-4.18705e-17,5.80180e-17,-2.69915e-17,5.80180e-17
3702.00,-1.72432e-17,5.78096e-17,-2.80459e-18,5.78096e-17
3702.25,-1.05742e-16,5.76166e-17,-9.15922e-17,5.76166e-17
3702.50,7.11384e-17,5.75049e-17,8.58059e-17,5.75049e-17
3702.75,-5.30779e-18,5.73581e-17,9.52876e-18,5.73581e-17
3703.00,-9.11750e-18,5.71824e-17,5.59859e-18,5.71824e-17
3703.25,3.94343e-17,5.69859e-17,5.38224e-17,5.69859e-17
3703.50,-3.28645e-17,5.67917e-17,-1.87855e-17,5.67917e-17
3703.75,-5.25970e-18,5.65957e-17,8.48987e-18,5.65957e-17
3704.00,-2.64473e-17,5.64096e-17,-1.29292e-17,5.64096e-17
3704.25,-2.02465e-17,5.62413e-17,-6.78318e-18,5.62413e-17
3704.50,2.91544e-17,5.60946e-17,4.27775e-17,5.60946e-17
3704.75,3.97372e-17,5.59714e-17,5.37492e-17,5.59714e-17
3705.00,8.19292e-17,5.58131e-17,9.59791e-17,5.58131e-17
3705.25,4.35111e-17,5.56444e-17,5.74947e-17,5.56444e-17
3705.50,1.51093e-17,5.54679e-17,2.89472e-17,5.54679e-17
3705.75,6.67908e-17,5.52836e-17,8.04036e-17,5.52836e-17
3706.00,-4.39422e-17,5.51153e-17,-3.04011e-17,5.51153e-17
3706.25,-3.70202e-17,5.49443e-17,-2.35767e-17,5.49443e-17
3706.50,-2.52425e-17,5.47609e-17,-1.20217e-17,5.47609e-17
3706.75,2.30721e-18,5.45726e-17,1.52553e-17,5.45726e-17
3707.00,8.28692e-17,5.43920e-17,9.56178e-17,5.43920e-17
3707.25,-4.63346e-17,5.42365e-17,-3.35403e-17,5.42365e-17
3707.50,-2.42597e-17,5.41010e-17,-1.12198e-17,5.41010e-17
3707.75,-2.64613e-17,5.39643e-17,-1.31895e-17,5.39643e-17
3708.00,-6.42180e-17,5.38198e-17,-5.07944e-17,5.38198e-17
3708.25,-7.08093e-17,5.36526e-17,-5.74657e-17,5.36526e-17
3708.50,8.81180e-18,5.34787e-17,2.20072e-17,5.34787e-17
3708.75,4.01798e-17,5.33012e-17,5.31915e-17,5.33012e-17
3709.00,3.61899e-17,5.31381e-17,4.91584e-17,5.31381e-17
3709.25,3.21071e-19,5.29982e-17,1.34757e-17,5.29982e-17
3709.50,5.76515e-17,5.28794e-17,7.11968e-17,5.28794e-17
3709.75,-1.69458e-18,5.26876e-17,1.15126e-17,5.26876e-17
3710.00,2.85888e-17,5.24994e-17,4.14944e-17,5.24994e-17
3710.25,8.40199e-17,5.23219e-17,9.67306e-17,5.23219e-17
3710.50,1.01078e-16,5.21665e-17,1.13813e-16,5.21665e-17
3710.75,1.35140e-16,5.20044e-17,1.47829e-16,5.20044e-17
3711.00,5.94650e-17,5.18697e-17,7.23856e-17,5.18697e-17
3711.25,4.42916e-18,5.17422e-17,1.76560e-17,5.17422e-17
3711.50,-2.30716e-17,5.16094e-17,-9.59179e-18,5.16094e-17
3711.75,-2.32725e-17,5.14381e-17,-9.92616e-18,5.14381e-17
3712.00,-2.84997e-17,5.12647e-17,-1.53091e-17,5.12647e-17
3712.25,-1.29283e-17,5.10935e-17,1.32320e-19,5.10935e-17
3712.50,3.76964e-18,5.09094e-17,1.65727e-17,5.09094e-17
3712.75,1.71593e-17,5.07117e-17,2.95662e-17,5.07117e-17
3713.00,3.17527e-17,5.05117e-17,4.37370e-17,5.05117e-17
3713.25,2.36352e-17,5.03420e-17,3.55003e-17,5.03420e-17
3713.50,1.37473e-17,5.01799e-17,2.55694e-17,5.01799e-17
3713.75,-1.08707e-17,5.00209e-17,9.38284e-19,5.00209e-17
3714.00,-5.90395e-17,4.98630e-17,-4.72349e-17,4.98630e-17
3714.25,-7.93430e-17,4.97072e-17,-6.75278e-17,4.97072e-17
3714.50,-2.73793e-17,4.95517e-17,-1.55493e-17,4.95517e-17
3714.75,-5.42828e-17,4.94037e-17,-4.23629e-17,4.94037e-17
3715.00,-8.28451e-17,4.92682e-17,-7.07145e-17,4.92682e-17
3715.25,1.61684e-17,4.91589e-17,2.87678e-17,4.91589e-17
3715.50,-2.87394e-17,4.90636e-17,-1.55357e-17,4.90636e-17
3715.75,-5.03026e-17,4.89042e-17,-3.71336e-17,4.89042e-17
3716.00,-1.02796e-17,4.87168e-17,2.57240e-18,4.87168e-17
3716.25,6.32534e-17,4.85127e-17,7.56166e-17,4.85127e-17
3716.50,3.99037e-17,4.83152e-17,5.18390e-17,4.83152e-17
3716.75,4.08516e-17,4.81484e-17,5.26619e-17,4.81484e-17
3717.00,6.02316e-18,4.79912e-17,1.78042e-17,4.79912e-17
3717.25,2.68166e-18,4.78419e-17,1.45090e-17,4.78419e-17
3717.50,4.63625e-17,4.77020e-17,5.83230e-17,4.77020e-17
3717.75,8.32196e-19,4.75966e-17,1.32629e-17,4.75966e-17
3718.00,-8.60630e-19,4.74709e-17,1.18359e-17,4.74709e-17
3718.25,4.98551e-17,4.73067e-17,6.24320e-17,4.73067e-17
3718.50,8.94074e-17,4.71238e-17,1.01673e-16,4.71238e-17
3718.75,6.09390e-17,4.69334e-17,7.28116e-17,4.69334e-17
3719.00,8.56784e-17,4.67647e-17,9.73670e-17,4.67647e-17
3719.25,-3.80790e-17,4.66109e-17,-2.64269e-17,4.66109e-17
3719.50,-4.41091e-17,4.64597e-17,-3.24707e-17,4.64597e-17
3719.75,1.34001e-17,4.63123e-17,2.50582e-17,4.63123e-17
3720.00,9.86791e-18,4.61742e-17,2.16320e-17,4.61742e-17
3720.25,-6.58037e-17,4.60600e-17,-5.36973e-17,4.60600e-17
3720.50,-2.88402e-17,4.59313e-17,-1.65342e-17,4.59313e-17
3720.75,1.29881e-17,4.57810e-17,2.52794e-17,4.57810e-17
3721.00,4.08574e-17,4.56092e-17,5.29200e-17,4.56092e-17
3721.25,4.69936e-17,4.54245e-17,5.86953e-17,4.54245e-17
3721.50,2.23700e-17,4.52630e-17,3.39430e-17,4.52630e-17
3721.75,2.61476e-17,4.51091e-17,3.76703e-17,4.51091e-17
3722.00,1.96555e-17,4.49577e-17,3.11549e-17,4.49577e-17
3722.25,-1.15784e-17,4.48076e-17,-9.20516e-20,4.48076e-17
3722.50,5.16418e-17,4.46626e-17,6.31608e-17,4.46626e-17
3722.75,4.71066e-17,4.45341e-17,5.88251e-17,4.45341e-17
3723.00,1.68596e-17,4.44290e-17,2.90118e-17,4.44290e-17
3723.25,-1.18455e-18,4.43311e-17,1.14733e-17,4.43311e-17
3723.50,4.27388e-17,4.42251e-17,5.58175e-17,4.42251e-17
3723.75,-1.21891e-17,4.40245e-17,3.55882e-19,4.40245e-17
3724.00,-4.36162e-17,4.38199e-17,-3.16454e-17,4.38199e-17
3724.25,-5.52339e-17,4.36348e-17,-4.36427e-17,4.36348e-17
3724.50,-4.83691e-17,4.34693e-17,-3.69642e-17,4.34693e-17
3724.75,-2.18773e-17,4.33185e-17,-1.05170e-17,4.33185e-17
3725.00,4.19165e-19,4.31716e-17,1.17675e-17,4.31716e-17
3725.25,4.27529e-17,4.30247e-17,5.40862e-17,4.30247e-17
3725.50,2.65013e-17,4.28781e-17,3.78198e-17,4.28781e-17
3725.75,-4.75277e-17,4.27320e-17,-3.62240e-17,4.27320e-17
3726.00,3.33241e-17,4.25874e-17,4.46194e-17,4.25874e-17
3726.25,1.20057e-16,4.24427e-17,1.31339e-16,4.24427e-17
3726.50,8.41091e-17,4.22984e-17,9.53759e-17,4.22984e-17
3726.75,2.95736e-17,4.21546e-17,4.08248e-17,4.21546e-17
3727.00,1.57917e-17,4.20114e-17,2.70272e-17,4.20114e-17
3727.25,-1.03485e-17,4.18700e-17,8.79746e-19,4.18700e-17
3727.50,-7.64539e-18,4.17282e-17,3.56708e-18,4.17282e-17
3727.75,-1.19501e-17,4.15872e-17,-7.52436e-19,4.15872e-17
3728.00,-3.55687e-17,4.14477e-17,-2.43794e-17,4.14477e-17
3728.25,-1.08047e-16,4.13109e-17,-9.68448e-17,4.13109e-17
3728.50,-1.19500e-17,4.11943e-17,-5.43265e-19,4.11943e-17
3728.75,-3.36887e-18,4.11003e-17,8.46372e-18,4.11003e-17
3729.00,-2.25577e-17,4.10041e-17,-1.03313e-17,4.10041e-17
3729.25,-5.13477e-17,4.08920e-17,-3.88930e-17,4.08920e-17
3729.50,-3.73340e-17,4.07198e-17,-2.52652e-17,4.07198e-17
3729.75,3.45773e-17,4.05297e-17,4.60742e-17,4.05297e-17
3730.00,3.56148e-17,4.03707e-17,4.68450e-17,4.03707e-17
3730.25,6.84598e-18,4.02252e-17,1.79370e-17,4.02252e-17
3730.50,-3.69746e-17,4.00892e-17,-2.59301e-17,4.00892e-17
3730.75,-2.05844e-17,3.99571e-17,-9.55253e-18,3.99571e-17
3731.00,6.13708e-17,3.98251e-17,7.23898e-17,3.98251e-17
3731.25,5.21978e-17,3.96950e-17,6.32185e-17,3.96950e-17
3731.50,5.94785e-18,3.95713e-17,1.70307e-17,3.95713e-17
3731.75,-4.22290e-17,3.94592e-17,-3.09699e-17,3.94592e-17
3732.00,-3.23174e-18,3.94100e-17,8.83071e-18,3.94100e-17
3732.25,-3.11787e-17,3.93549e-17,-1.83713e-17,3.93549e-17
3732.50,-1.51089e-17,3.92549e-17,-2.01189e-18,3.92549e-17
3732.75,2.00268e-17,3.91074e-17,3.29292e-17,3.91074e-17
3733.00,1.71035e-17,3.88924e-17,2.91285e-17,3.88924e-17
3733.25,-2.12131e-17,3.86927e-17,-9.91451e-18,3.86927e-17
3733.50,1.70594e-17,3.85584e-17,2.82887e-17,3.85584e-17
3733.75,9.96818e-18,3.84640e-17,2.15232e-17,3.84640e-17
3734.00,-3.95178e-17,3.84036e-17,-2.73007e-17,3.84036e-17
3734.25,4.75823e-18,3.83791e-17,1.79962e-17,3.83791e-17
3734.50,2.79651e-18,3.82878e-17,1.63805e-17,3.82878e-17
3734.75,4.29830e-17,3.82008e-17,5.69559e-17,3.82008e-17
3735.00,4.78769e-17,3.81358e-17,6.24545e-17,3.81358e-17
3735.25,-1.71068e-17,3.80963e-17,-1.67021e-18,3.80963e-17
3735.50,-5.58197e-17,3.79917e-17,-4.01905e-17,3.79917e-17
3735.75,-2.25863e-17,3.77833e-17,-7.81909e-18,3.77833e-17
3736.00,-1.48727e-17,3.75589e-17,-1.13158e-18,3.75589e-17
3736.25,-1.68706e-17,3.73377e-17,-4.12735e-18,3.73377e-17
3736.50,-1.32626e-17,3.71404e-17,-1.28095e-18,3.71404e-17
3736.75,-6.18327e-19,3.70022e-17,1.11920e-17,3.70022e-17
3737.00,2.02606e-17,3.68917e-17,3.21769e-17,3.68917e-17
3737.25,9.84601e-18,3.67936e-17,2.19905e-17,3.67936e-17
3737.50,-2.20850e-17,3.67081e-17,-9.59131e-18,3.67081e-17
3737.75,-4.75399e-17,3.66488e-17,-3.44409e-17,3.66488e-17
3738.00,-1.17297e-17,3.65761e-17,1.83590e-18,3.65761e-17
3738.25,3.76355e-18,3.64493e-17,1.72456e-17,3.64493e-17
3738.50,6.24988e-18,3.63244e-17,1.96627e-17,3.63244e-17
3738.75,-1.29108e-19,3.62139e-17,1.33551e-17,3.62139e-17
3739.00,1.96329e-17,3.61327e-17,3.34762e-17,3.61327e-17
3739.25,-3.66246e-18,3.60433e-17,1.04525e-17,3.60433e-17
3739.50,4.56775e-18,3.59892e-17,1.93103e-17,3.59892e-17
3739.75,2.93168e-17,3.59855e-17,4.51973e-17,3.59855e-17
3740.00,6.40143e-17,3.60434e-17,8.16629e-17,3.60434e-17
3740.25,1.02670e-17,3.62117e-17,3.08227e-17,3.62117e-17
3740.50,2.16943e-17,3.60720e-17,4.19842e-17,3.60720e-17
3740.75,5.97290e-18,3.57740e-17,2.43611e-17,3.57740e-17
3741.00,-1.24039e-17,3.53909e-17,3.21923e-18,3.53909e-17
3741.25,3.78685e-18,3.49966e-17,1.65468e-17,3.49966e-17
3741.50,4.82387e-18,3.47791e-17,1.65168e-17,3.47791e-17
3741.75,5.50999e-18,3.47269e-17,1.78056e-17,3.47269e-17
3742.00,1.62474e-17,3.47022e-17,2.94192e-17,3.47022e-17
3742.25,2.71093e-17,3.46717e-17,4.10982e-17,3.46717e-17
3742.50,-6.89982e-18,3.45674e-17,7.15085e-18,3.45674e-17
3742.75,-2.81992e-18,3.43954e-17,1.06013e-17,3.43954e-17
3743.00,-1.30137e-17,3.42012e-17,-4.50499e-19,3.42012e-17
3743.25,-2.28736e-17,3.40074e-17,-1.11690e-17,3.40074e-17
3743.50,-2.48509e-17,3.38275e-17,-1.38666e-17,3.38275e-17
3743.75,2.61156e-17,3.37001e-17,3.69036e-17,3.37001e-17
3744.00,-3.14142e-18,3.36509e-17,8.23741e-18,3.36509e-17
3744.25,-1.86207e-17,3.36780e-17,-5.88046e-18,3.36780e-17
3744.50,-9.56523e-18,3.37543e-17,5.03574e-18,3.37543e-17
3744.75,3.80112e-17,3.38661e-17,5.48426e-17,3.38661e-17
3745.00,-2.79879e-17,3.37890e-17,-1.08647e-17,3.37890e-17
3745.25,-2.29184e-17,3.34737e-17,-7.94594e-18,3.34737e-17
3745.50,-1.61072e-17,3.31691e-17,-3.16853e-18,3.31691e-17
3745.75,-1.00185e-17,3.29069e-17,1.31832e-18,3.29069e-17
3746.00,-6.76776e-18,3.27358e-17,3.88592e-18,3.27358e-17
